KO	L1	L2	L3	L4
K02077	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K02075	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K02074	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K09815	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K09816	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K09817	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K06858	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06073	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06074	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06258	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Protein transporters	L4_Vesicular neurotransmitter transporter (vnt) [tc:2.A.1.22]
K11959	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11960	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11961	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11962	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11963	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K06902	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Unknown major facilitator-1 (UmF1) [tc:2.A.1.24]
K08219	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Unknown major facilitator-1 (UmF1) [tc:2.A.1.24]
K02004	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Uncharacterized ABC transporter [mD:m00258]
K02003	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Uncharacterized ABC transporter [mD:m00258]
K10236	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10237	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10238	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10239	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K02777	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02817	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02818	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02819	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02064	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K02063	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K02062	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K09692	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Teichoic acid transporter [mD:m00251]
K02051	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02050	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02049	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K09693	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02048	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02046	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02047	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02045	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K08137	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K02100	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08138	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K13854	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08139	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08141	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K06609	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K06610	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07299	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07593	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08142	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07191	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08143	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08144	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K12201	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08145	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08146	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08147	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08148	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08149	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08150	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K14258	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K03444	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K03291	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar efflux transporter (sEt) [tc:2.A.1.20]
K02808	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sucrose-specific II component [mD:m00269]
K02809	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sucrose-specific II component [mD:m00269]
K02810	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sucrose-specific II component [mD:m00269]
K11069	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Spermidine/putrescine transporter [mD:m00299]
K11070	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Spermidine/putrescine transporter [mD:m00299]
K11071	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Spermidine/putrescine transporter [mD:m00299]
K11072	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Spermidine/putrescine transporter [mD:m00299]
K02812	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sorbose-specific II component [mD:m00278]
K02813	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sorbose-specific II component [mD:m00278]
K02814	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sorbose-specific II component [mD:m00278]
K02815	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Sorbose-specific II component [mD:m00278]
K10228	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sorbitol/mannitol transporter [mD:m00200]
K10229	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sorbitol/mannitol transporter [mD:m00200]
K10230	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sorbitol/mannitol transporter [mD:m00200]
K10243	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sorbitol/mannitol transporter [mD:m00200]
K10227	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sorbitol/mannitol transporter [mD:m00200]
K09696	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Sodium transporter [mD:m00253]
K09697	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Sodium transporter [mD:m00253]
K05813	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sn-glycerol 3-phosphate transporter [mD:m00198]
K05814	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sn-glycerol 3-phosphate transporter [mD:m00198]
K05815	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sn-glycerol 3-phosphate transporter [mD:m00198]
K05816	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Sn-glycerol 3-phosphate transporter [mD:m00198]
K02058	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Simple sugar transporter [mD:m00221]
K02057	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Simple sugar transporter [mD:m00221]
K02056	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Simple sugar transporter [mD:m00221]
K08197	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Metal transporters	L4_Siderophore-iron transporter (sIt) [tc:2.A.1.16]
K03290	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Sialate:H+ symporter (shs) family [tc:2.A.1.12]
K08178	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Sialate:H+ symporter (shs) family [tc:2.A.1.12]
K10439	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Ribose transporter [mD:m00212]
K10440	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Ribose transporter [mD:m00212]
K10441	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Ribose transporter [mD:m00212]
K10559	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Rhamnose transporter [mD:m00220]
K10560	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Rhamnose transporter [mD:m00220]
K10561	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Rhamnose transporter [mD:m00220]
K10562	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Rhamnose transporter [mD:m00220]
K11073	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putrescine transporter [mD:m00300]
K11074	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putrescine transporter [mD:m00300]
K11075	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putrescine transporter [mD:m00300]
K11076	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putrescine transporter [mD:m00300]
K08222	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Putative YqgE transporter (YqgE) family [tc:2.A.1.33]
K06857	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative tungstate transporter [mD:m00186]
K05772	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative tungstate transporter [mD:m00186]
K05773	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative tungstate transporter [mD:m00186]
K05777	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative thiamine transporter [mD:m00192]
K05778	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative thiamine transporter [mD:m00192]
K05779	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative thiamine transporter [mD:m00192]
K02061	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative sulfate transporter [mD:m00187]
K02060	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative sulfate transporter [mD:m00187]
K02059	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative sulfate transporter [mD:m00187]
K10120	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative sugar transporter [mD:m00197]
K10121	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative sugar transporter [mD:m00197]
K10122	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative sugar transporter [mD:m00197]
K10112	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative sugar transporter [mD:m00197]
K02055	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative spermidine/putrescine transporter [mD:m00193]
K02053	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative spermidine/putrescine transporter [mD:m00193]
K02054	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative spermidine/putrescine transporter [mD:m00193]
K02052	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Putative spermidine/putrescine transporter [mD:m00193]
K05780	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Putative phosphonate transporter [mD:m00224]
K05781	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Putative phosphonate transporter [mD:m00224]
K10546	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Putative multiple sugar transporter [mD:m00216]
K10547	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Putative multiple sugar transporter [mD:m00216]
K10548	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Putative multiple sugar transporter [mD:m00216]
K10039	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Putative glutamine transporter [mD:m00228]
K10040	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Putative glutamine transporter [mD:m00228]
K10041	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Putative glutamine transporter [mD:m00228]
K08226	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Metal transporters	L4_Putative bacteriochlorophyll delivery (bcD) family [tc:2.A.1.41]
K08221	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Drug transporters	L4_Putative aromatic compound/drug exporter (AcDE) family [tc:2.A.1.32]
K02067	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative ABC transporter [mD:m00210]
K02066	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative ABC transporter [mD:m00210]
K02065	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative ABC transporter [mD:m00210]
K02069	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative ABC transporter [mD:m00210]
K02068	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Putative ABC transporter [mD:m00210]
K01989	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Putative ABC transporter [mD:m00210]
K05832	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Putative ABC transporter [mD:m00210]
K05833	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Putative ABC transporter [mD:m00210]
K11636	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Putative ABC transporter [mD:m00210]
K11635	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Putative ABC transporter [mD:m00210]
K06901	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Purine transporter (AzgA) family [tc:2.A.1.40]
K14613	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Proton coupled folate transporter/heme carrier protein (pcFt/hcp) family [tc:2.A.1.50]
K14614	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Proton coupled folate transporter/heme carrier protein (pcFt/hcp) family [tc:2.A.1.50]
K02030	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Polar amino acid transporter [mD:m00236]
K02029	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Polar amino acid transporter [mD:m00236]
K02028	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Polar amino acid transporter [mD:m00236]
K02044	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphonate transporter [mD:m00223]
K02042	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphonate transporter [mD:m00223]
K02041	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphonate transporter [mD:m00223]
K02784	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Phosphocarrier protein HPr
K11183	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Phosphocarrier protein HPr
K08485	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Phosphocarrier protein HPr
K11189	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Phosphocarrier protein HPr
K08176	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Phosphate:H+ symporter (phs) family [tc:2.A.1.9]
K02040	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphate transporter [mD:m00222]
K02037	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphate transporter [mD:m00222]
K02038	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphate transporter [mD:m00222]
K02036	L1_Transporters	L2_ABC transporters	L3_Monosaccharide transporters	L4_Phosphate transporter [mD:m00222]
K05820	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Phenylproprionate permease (ppp) [tc:2.A.1.27]
K02035	L1_Transporters	L2_ABC transporters	L3_Peptide and nickel transporters	L4_Peptides/nickel transporter [mD:m00239]
K02033	L1_Transporters	L2_ABC transporters	L3_Peptide and nickel transporters	L4_Peptides/nickel transporter [mD:m00239]
K02034	L1_Transporters	L2_ABC transporters	L3_Peptide and nickel transporters	L4_Peptides/nickel transporter [mD:m00239]
K02031	L1_Transporters	L2_ABC transporters	L3_Peptide and nickel transporters	L4_Peptides/nickel transporter [mD:m00239]
K02032	L1_Transporters	L2_ABC transporters	L3_Peptide and nickel transporters	L4_Peptides/nickel transporter [mD:m00239]
K03372	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Protein transporters	L4_Peptide-acetyl-coA transporter (pAt) [tc:2.A.1.25]
K08218	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Protein transporters	L4_Peptide-acetyl-coA transporter (pAt) [tc:2.A.1.25]
K08177	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Oxalate:formate antiporter (oFA) family [tc:2.A.1.11]
K05373	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Others
K06141	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Others
K08368	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Others
K08369	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Others
K12307	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Others
K05845	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Osmoprotectant transporter [mD:m00209]
K05846	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Osmoprotectant transporter [mD:m00209]
K05847	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Osmoprotectant transporter [mD:m00209]
K09013	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Orphan ABC ATPase
K07784	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K11382	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K02445	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K07783	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K13783	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K03447	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K08171	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Phosphate and organophosphate transporters	L4_Organophosphate:Pi (inorganic phosphorus) antiporter (opA) family [tc:2.A.1.4]
K08198	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08199	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08200	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08201	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08202	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08203	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08204	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08205	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08206	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08207	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08208	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08209	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08210	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08211	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08212	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08213	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08214	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08215	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K08216	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Organic acid transporters	L4_Organic cation transporter (oct) family [tc:2.A.1.19]
K02532	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Oligosaccharide:H+ symporter (ohs) family [tc:2.A.1.5]
K10192	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Oligogalacturonide transporter [mD:m00202]
K10193	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Oligogalacturonide transporter [mD:m00202]
K10194	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Oligogalacturonide transporter [mD:m00202]
K10195	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Oligogalacturonide transporter [mD:m00202]
K10018	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Octopine/nopaline transporter [mD:m00231]
K10019	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Octopine/nopaline transporter [mD:m00231]
